id,x,y,europe
846,8,69,True
847,8,70,True
848,8,71,True
849,8,72,True
850,8,73,True
851,8,74,True
852,8,75,True
853,8,76,True
854,8,77,True
855,8,78,True
856,8,79,True
857,8,80,True
858,8,81,True
859,8,82,True
860,8,83,True
861,8,84,True
862,8,85,True
863,8,86,True
864,8,87,True
865,8,88,True
866,8,89,True
867,8,90,True
868,8,91,True
869,8,92,True
870,8,93,True
871,8,94,True
872,8,95,True
873,8,96,True
874,9,0,True
875,9,1,True
876,9,2,True
877,9,3,True
878,9,4,True
879,9,5,True
880,9,6,True
881,9,7,True
882,9,8,True
883,9,9,True
884,9,10,True
885,9,11,True
886,9,12,True
887,9,13,True
888,9,14,True
889,9,15,True
890,9,16,True
891,9,17,True
892,9,18,True
893,9,19,True
894,9,20,True
895,9,21,True
896,9,22,True
897,9,23,True
898,9,24,True
899,9,25,True
900,9,26,True
901,9,27,True
902,9,28,True
903,9,29,True
904,9,30,True
905,9,31,True
906,9,32,True
907,9,33,True
908,9,34,True
909,9,35,True
910,9,36,True
911,9,37,True
912,9,38,True
913,9,39,True
914,9,40,True
915,9,41,True
916,9,42,True
917,9,43,True
918,9,44,True
919,9,45,True
920,9,46,True
921,9,47,True
922,9,48,True
923,9,49,True
924,9,50,True
925,9,51,True
926,9,52,True
927,9,53,True
928,9,54,True
929,9,55,True
930,9,56,True
931,9,57,True
932,9,58,True
933,9,59,True
934,9,60,True
935,9,61,True
936,9,62,True
937,9,63,True
938,9,64,True
939,9,65,True
940,9,66,True
941,9,67,True
942,9,68,True
943,9,69,True
944,9,70,True
945,9,71,True
946,9,72,True
947,9,73,True
948,9,74,True
949,9,75,True
950,9,76,True
951,9,77,True
952,9,78,True
953,9,79,True
954,9,80,True
955,9,81,True
956,9,82,True
957,9,83,True
958,9,84,True
959,9,85,True
960,9,86,True
961,9,87,True
962,9,88,True
963,9,89,True
964,9,90,True
965,9,91,True
966,9,92,True
967,9,93,True
968,9,94,True
969,9,95,True
970,9,96,True
971,10,0,True
972,10,1,True
973,10,2,True
974,10,3,True
975,10,4,True
976,10,5,True
977,10,6,True
978,10,7,True
979,10,8,True
980,10,9,True
981,10,10,True
982,10,11,True
983,10,12,True
984,10,13,True
985,10,14,True
986,10,15,True
987,10,16,True
988,10,17,True
989,10,18,True
990,10,19,True
991,10,20,True
992,10,21,True
993,10,22,True
994,10,23,True
995,10,24,True
996,10,25,True
997,10,26,True
998,10,27,True
999,10,28,True
1000,10,29,True
1001,10,30,True
1002,10,31,True
1003,10,32,True
1004,10,33,True
1005,10,34,True
1006,10,35,True
1007,10,36,True
1008,10,37,True
1009,10,38,True
1010,10,39,True
1011,10,40,True
1012,10,41,True
1013,10,42,True
1014,10,43,True
1015,10,44,True
1016,10,45,True
1017,10,46,True
1018,10,47,True
1019,10,48,True
1020,10,49,True
1021,10,50,True
1022,10,51,True
1023,10,52,True
1024,10,53,True
1025,10,54,True
1026,10,55,True
1027,10,56,True
1028,10,57,True
1029,10,58,True
1030,10,59,True
1031,10,60,True
1032,10,61,True
1033,10,62,True
1034,10,63,True
1035,10,64,True
1036,10,65,True
1037,10,66,True
1038,10,67,True
1039,10,68,True
1040,10,69,True
1041,10,70,True
1042,10,71,True
1043,10,72,True
1044,10,73,True
1045,10,74,True
1046,10,75,True
1047,10,76,True
1048,10,77,True
1049,10,78,True
1050,10,79,True
1051,10,80,True
1052,10,81,True
1053,10,82,True
1054,10,83,True
1055,10,84,True
1056,10,85,True
1057,10,86,True
1058,10,87,True
